,TotalProd,ProductID,OrderDate
0,1,874,2014-06-30 00:00:00
1,1,933,2014-06-30 00:00:00
2,1,860,2014-06-30 00:00:00
3,6,712,2014-06-30 00:00:00
4,4,880,2014-06-30 00:00:00
5,1,716,2014-06-30 00:00:00
6,3,871,2014-06-30 00:00:00
7,3,923,2014-06-30 00:00:00
8,4,873,2014-06-30 00:00:00
9,1,714,2014-06-30 00:00:00
10,1,932,2014-06-30 00:00:00
11,1,881,2014-06-30 00:00:00
12,1,879,2014-06-30 00:00:00
13,2,715,2014-06-30 00:00:00
14,1,884,2014-06-30 00:00:00
15,9,921,2014-06-30 00:00:00
16,4,711,2014-06-30 00:00:00
17,6,878,2014-06-30 00:00:00
18,3,707,2014-06-30 00:00:00
19,1,928,2014-06-30 00:00:00
20,1,713,2014-06-30 00:00:00
21,5,931,2014-06-30 00:00:00
22,3,876,2014-06-30 00:00:00
23,1,859,2014-06-30 00:00:00
24,7,922,2014-06-30 00:00:00
25,1,867,2014-06-30 00:00:00
26,3,930,2014-06-30 00:00:00
27,5,708,2014-06-30 00:00:00
28,2,929,2014-06-30 00:00:00
29,2,866,2014-06-30 00:00:00
30,1,869,2014-06-30 00:00:00
31,7,877,2014-06-30 00:00:00
32,3,870,2014-06-30 00:00:00
33,1,864,2014-06-30 00:00:00
34,1,923,2014-06-29 00:00:00
35,1,882,2014-06-29 00:00:00
36,3,928,2014-06-29 00:00:00
37,1,878,2014-06-29 00:00:00
38,3,933,2014-06-29 00:00:00
39,2,860,2014-06-29 00:00:00
40,1,869,2014-06-29 00:00:00
41,1,930,2014-06-29 00:00:00
42,1,716,2014-06-29 00:00:00
43,1,877,2014-06-29 00:00:00
44,3,871,2014-06-29 00:00:00
45,1,864,2014-06-29 00:00:00
46,4,931,2014-06-29 00:00:00
47,1,713,2014-06-29 00:00:00
48,4,711,2014-06-29 00:00:00
49,2,932,2014-06-29 00:00:00
50,2,712,2014-06-29 00:00:00
51,1,929,2014-06-29 00:00:00
52,3,921,2014-06-29 00:00:00
53,3,873,2014-06-29 00:00:00
54,1,875,2014-06-29 00:00:00
55,2,708,2014-06-29 00:00:00
56,3,880,2014-06-29 00:00:00
57,4,870,2014-06-29 00:00:00
58,8,922,2014-06-29 00:00:00
59,2,714,2014-06-29 00:00:00
60,2,865,2014-06-29 00:00:00
61,2,867,2014-06-28 00:00:00
62,4,871,2014-06-28 00:00:00
63,5,708,2014-06-28 00:00:00
64,2,884,2014-06-28 00:00:00
65,3,712,2014-06-28 00:00:00
66,1,707,2014-06-28 00:00:00
67,5,921,2014-06-28 00:00:00
68,2,931,2014-06-28 00:00:00
69,2,877,2014-06-28 00:00:00
70,7,873,2014-06-28 00:00:00
71,1,923,2014-06-28 00:00:00
72,1,883,2014-06-28 00:00:00
73,1,933,2014-06-28 00:00:00
74,6,922,2014-06-28 00:00:00
75,6,870,2014-06-28 00:00:00
76,2,868,2014-06-28 00:00:00
77,1,860,2014-06-28 00:00:00
78,3,882,2014-06-28 00:00:00
79,1,929,2014-06-28 00:00:00
80,4,876,2014-06-28 00:00:00
81,3,878,2014-06-28 00:00:00
82,4,928,2014-06-28 00:00:00
83,1,932,2014-06-28 00:00:00
84,1,713,2014-06-28 00:00:00
85,1,714,2014-06-27 00:00:00
86,2,934,2014-06-27 00:00:00
87,4,708,2014-06-27 00:00:00
88,6,707,2014-06-27 00:00:00
89,5,923,2014-06-27 00:00:00
90,1,872,2014-06-27 00:00:00
91,4,922,2014-06-27 00:00:00
92,2,884,2014-06-27 00:00:00
93,8,870,2014-06-27 00:00:00
94,3,928,2014-06-27 00:00:00
95,1,876,2014-06-27 00:00:00
96,1,933,2014-06-27 00:00:00
97,1,880,2014-06-27 00:00:00
98,1,858,2014-06-27 00:00:00
99,8,873,2014-06-27 00:00:00
100,1,711,2014-06-27 00:00:00
101,1,868,2014-06-27 00:00:00
102,2,712,2014-06-27 00:00:00
103,7,921,2014-06-27 00:00:00
104,1,715,2014-06-27 00:00:00
105,2,930,2014-06-27 00:00:00
106,3,931,2014-06-27 00:00:00
107,2,716,2014-06-27 00:00:00
108,1,859,2014-06-27 00:00:00
109,5,929,2014-06-27 00:00:00
110,4,871,2014-06-27 00:00:00
111,5,878,2014-06-27 00:00:00
112,1,867,2014-06-26 00:00:00
113,3,878,2014-06-26 00:00:00
114,1,716,2014-06-26 00:00:00
115,1,859,2014-06-26 00:00:00
116,5,931,2014-06-26 00:00:00
117,1,929,2014-06-26 00:00:00
